Supplier Name,Supplier Details,Supplier Email,Supplier Telephone,Supplier Contact Name
Mastek (UK) Ltd,"Mastek is a global enterprise-level technology solutions provider. We utilise Agile methodologies that deliver early business value and enable organisations to adapt to dynamically transforming IT environments. Our IT services portfolio covers digital transformation, application development, service management, maintenance,  testing, consulting, systems integration, mobility, data warehousing, business intelligence and analytics.",dos@mastek.com,0118 903 5700,Mastek Bid Team
Match Performance Solutions,"We are passionate about making a difference. Born out of a belief that we can, and do, help our clients to achieve their change ambitions in a better way – in a way that other consultancies can’t. Bringing a unique mix of experience, insight and technology to solve their challenges.",j.fowler@matchp4.com,01908 760239,James Fowler
Matobo Ltd,"The Matobo suite of Cyber Security, GDPR and InfoGov eLearning is co-designed and co-funded with DPOs from 18 councils, housing and schools, based on our original training for the BBC.

As BAFTA-winning film-makers, our work is made with love - and our audience keep telling us they love it too.",hello@matobo.co.uk,0114 272 4086,Matobo Enquiries
Matraxis Ltd,"Since 2002 Matraxis has worked with many central and local government areas in the delivery of analytics and business intelligence solutions. 

Our approach is practical and straightforward – apply our expert knowledge and experience in combination with leading technologies to deliver first class low maintenance solutions at a realistic cost.",gcloud@matraxis.co.uk,020 8133 8323,John Caiger
MATRIX BOOKING LIMITED,"Matrix Booking is an innovative workplace solutions company. We have helped to develop and manage the largest network of cross government hub programmes for over 5 years. Matrix Booking is a suite of workplace management applications, signage solutions and workplace sensor systems which integrate with 0365 and G-suite.",gov.digital@matrixbooking.com,020 3883 9339,Public Sector Sales Team
Matrix SCM,Matrix SCM provides cloud-based software applications which enable our customers to engage and manage contingent staff more effectively and efficiently. Our software also helps customers to reduce their future reliance on using contingent staff by helping them to develop permanent staffing capability. For more information visit www.matrix-scm.com,chris.grimes@matrix-scm.com,07843072803,Chris Grimes
Matter of Focus Ltd,"Matter of Focus is a mission-led company based in Edinburgh supporting organisations to make better use of data and information to tell the story of the difference they make.  We specialise in working with organisations who make a difference by inspiring, educating, empowering, caring for, leading or connecting with people.",info@matter-of-focus.com,0131 357 6820,Sarah Scott
MATTER STREAM LIMITED t/a Advanta Healthcare,,info@advantahealthcare.co.uk,02037780775,Harjinder Gill
max20 Project Solutions,"max20 provides teams to build and support digital services from the discovery phase through to full implementation. We provide the following digital services; user experience and design, change management, performance analysis and data, security, service delivery, service development, support and operations, testing, training and auditing as well as user research.",ps@max20.com,0161 941 5026,Don Tomlinson
Maxica Consulting Limited,"Specialists in Delivery Management, Portfolio Management, Programme Management, PMO, utilising a range of methodologies including “Waterfall” and “Agile” techniques. Also specialising in Business Improvement tools and coaching, Business Strategy and Enterprise Architecture, Business Change Management. Maxica also provides training on all the above disciplines.",derron.taplin@maxicaconsulting.co.uk,07824 303 999,Derron Taplin
Maximise IT,"Maximise IT Solutions is a UK based multi-award-winning software services company, delivering innovative solutions designed to help customers maximise and exploit the value of technology.
We deliver thousands of solutions to help our customers achieve competitive advantage by streamlining business processes. Delivering intelligent automation and bespoke software development saving £100M's.",businessservices@maximiseit.co.uk,08456432360,Business Development
Mayden,"Our life's work is creating technology that changes what's possible for clinicians and patients.  Our customers are mainly healthcare and related industries. Our applications have the power to change the way services are delivered by staff, and experienced by the public by improving communication, reducing administration and improving efficiency.",chris.may@mayden.co.uk,01249 701100,Chris May
Maytech,"Maytech provide secure, compliant cloud file sharing services to government and corporates worldwide. This includes
automated SFTP workflows, easy to use corporate file sharing, data acquisition and secure APIs to integrate with your existing software. A comprehensive suite of controls enables compliance with global security and privacy standards.",sales@maytech.net,01892 861222,John Lynch
Maywoods ltd,"We specialise in software development, business intelligence, IT strategy development and cloud computing. Our team of expert consultants will collaborate with you to ensure they deliver the best solution for your business needs.",andy@maywoods.co.uk,07799 293 159,Andrew Holland
MAZARS LLP,"Mazars is an international, integrated and independent firm, specialising in audit, accountancy, advisory, tax and legal services. Operating in 89 countries, as of 01/01/19, the firm draws on the expertise of 23,000 professionals to assist major international groups, SMEs, private investors and public bodies at every stage in their development.",pstenders@mazars.co.uk,020 7063 4000,Peter Cudlip
Maze Education,,chris@mazeeducation.co.uk,07896548466,Chris Toyne
Mazepoint Limited,"We love creating actionable insight that makes a difference, unlocking the potential for personal and organisational performance, always. 

The problems we solve include inefficient manual insight processes, lack of performance transparency, high cost, low output productivity, insufficient performance risk management and identifying growth opportunities.",jnoble@mazepoint.com,020 7348 7600,James Noble
Mazik Global Limited,"Mazik Global  is a visionary, experienced, and time proven global IT solution development and implementation company. As the key development partner of Microsoft Dynamics, Healthcare and Cloud products, we offer a very unique and unmatched industry experience in ERP, Cloud, Mobile and Enterprise social networking solutions.",ukbdteam@mazikglobal.com,+44 20 7038 0147,UK BD Team
MBA Michael Associates UK,"MBA UK provide workforce project management and technical specialist consulting for clients developing Digital Transformation and Cloud based solutions in the IT, Telecommunications, Finance and Oil & Gas sectors. Our services include designing, managing and implementing digital  projects and solutions to both the Private and Public Sector markets.",jfurlong@mbauk.com,0207 749 5645,James Furlong
MBI Healthcare Technologies,,Barry.mulholland@mbihealthcaretechnologies.com,07729456040,Barry Mulholland
McGirr Technologies,,sandy.gellan@mcgirrtech.com,+61410573999,Sandy Gellan
McGowan Associates Ltd,,alastair.mcgowan@mcgowana.co.uk,07989090372,Alastair McGowan
"McKinsey & Company, Inc. United Kingdom","McKinsey is a global consultancy that helps clients make significant, lasting improvements to their performance.  As well as advising, Digital McKinsey builds, operates, and transfers capabilities to digitally transform our clients’ businesses. To do so, we leverage nearly 2,000 experts, from IT architects to advanced analytics experts. Learn more: https://www.mckinsey.com/business-functions/digital-mckinsey/how-we-help-clients.",tenderadmin@mckinsey.com,+44 207 961 6192,Soumi Papadopoulou
MCMS,"MCM Solutions is a British Company that has developed a range of innovative, digital data based solutions for Military, Intelligence Agencies, Police and Law Enforcement, predominantly around covert and overt rapid data extraction and instant, often automated, intelligence and analysis.",marketing@mcmsolutions.co.uk,01403267176,James Mutisya
MCPC Systems (UK) Ltd,"Bring your outdoor, leisure & facilities management services to life by enabling your back office and operational teams to work smarter, not harder.

MCPC make intuitive and flexible software that’s easy to setup, simple to manage and will fit your operations like a glove.",peter.hollis@mcpcsystems.co.uk,01244 846 450,Peter Hollis
MDB Service Consulting Ltd,"We provide a spectrum of services around implementing and enhancing ITSM tools & Udacity Training to enhance business change and transformations. Harnessing the power of an experienced team of professionals, we can provide consultancy from sustainable strategy to a full-scale delivery programme to maximise capability and investment for our clients.",Mike@mdbsc.co.uk,07985652954,Mike Braithwaite
MD CONSENTS LIMITED,,susan@fertilityconsent.com,07516729721,Susan Diamond
MDS Technologies Limited,"MDS is your digital partner: trusted, innovative and secure.

We are specialists in providing professional, personalised solutions in Government, Defence and Health and Care sectors.

Our teams are focussed on supporting organisations in their journey to digital and cloud adoption; providing services, support, practical advice and assistance.",sales@mds.gb.net,01225 816280,Simon Jacobs
Meantime Information Technologies Ltd,,fenner.pearson@meantime.co.uk,07767 622 674,Fenner Pearson
Me Applications Ltd,"Me Applications is a licencee of ORB cloud software enabling service providers and service users to access and organise digital resources and interact to get jobs done online. Me Applications helps Buyers use ORB: planning, setup and migration, deployment at scale and with pace, training, ongoing support.",centre@orbuniverse.com,07771116666,R Cooper
Medacs Healthcare Plc,,bidteam@medacs.com,0203 096 4662,Carol Waller
"Medallia, Inc.","Medallia captures experience signals created on daily journeys in person, digital and IoT interactions and applies proprietary AI technology to reveal personalized and predictive insights that can drive action with tremendous business results. Customers can reduce churn, turn detractors into promoters and buyers, and create in-the-moment cross-sell and up-sell opportunities.",gcloud@medallia.com,02039002121,Riadh Barkat
MEDCURRENT UK LTD,MedCurrent is an innovative physician-founded healthcare information technology company and global leader in the Clinical Decision Support (CDS) market. Our platform leverages the Royal College of Radiology (RCR) iRefer appropriate use criteria for radiology CDS in the UK marketplace.,martin.kepa@medcurrent.com,+44 (0) 141 488 0915,Martin Kepa
Meddicle LTD,,meddicle@gmail.com,+447765575687,Andrew Fischer
medDigital,"We have developed medCrowd, an instant messaging technology for health and care that protects confidential information to the required standards.",contact@medDigital.com,+44 20 3637 2100,Dr Felix Jackson
Medialogix Ltd,Medialogix Ltd is the UK's largest provider of FotoWare Digital Asset Management and Digital Evidence Management solutions to the government and public sector. We have been awarded Platinum Partner status with FotoWare in recognition of our 15 years' experience within a broad range of government departments.,sales@medialogix.co.uk,01216630309,Faisal Mahmood
MediaPlatform,"MediaPlatform is a leading enterprise video platform, enabling on-demand video and live webcasting for internal communications, executive broadcasts, training and marketing. We partner with global organisations across all industries to help create more engaging executive messaging and empower employee communications while enabling knowledge sharing and collaboration.",djones@mediaplatform.com,+44 (0) 7879 991889,Dave Jones
Mediaworks (UK) Ltd,"Award-winning full service digital marketing agency. We work alongside clients to implement effective and sustainable Search Engine Optimisation (SEO), Paid Search (PPC), Conversion Rate Optimisation (CRO), Online Reputation Management (ORM), Web Development, Media Buying, and Creative Content Services.",scott.holland@mediaworks.co.uk,07414799299,Scott Holland
Medical Audits Limited,"Medical Audits provide Healthcare Auditing, Surveillance and Quality Assurance Software. The software is  specifically designed for mobile clinical auditing and surveillance. Our systems are based on best international standards and our intuitive user interface supports the Gold standard of audit with immediate feedback, proven to improve staff compliance and understanding.",ann@medicalaudits.co.uk,0121 2708865,Ann Higgins
Medical Banks Limited,"Medibanks is the biggest breakthrough in staff bank technology. It's a fully supported, cross platform cloud-based software that offers customers a tailor-made solution to the complexities of managing this critical resource pool, providing a highly automated way to access, communicate and engage with their contingent workforce. API integration available.",rod@medibanks.com,02033550582,Rod McGovern
Medical Data Solutions and Services LTD,"MDSAS are world renowned for the delivery of national and international cloud-based solutions. MDSAS have particular experience working with the NHS to develop/deliver national registries to support management of clinical services. In addition MDSAS develop ireferral, triage, advice & guidance and wound care systems incorporating app-based image capture and submission.",rob.hollingsworth@mdsas.com,01612777917,Rob Hollingsworth
MEDICARE NETWORK LIMITED,"An agile cybersecurity company providing proven advice and innovative solutions to counter and respond to the most sophisticated and targeted cyber-attacks. Identifying industry-leading and advanced solutions that reduce risk, prevent costly outages, safety, complexity, and operational inefficiencies, leveraging award-winning technologies consisting of Artificial Intelligence and Machine Learning that reduce costs.",clientservices@mednetsec.com,0203 355 3785,Customer Services
Medic Creations Limited,,sandeep@mediccreations.com,07800 633716,Sandeep Bansal
MEDILOGIK LIMITED,,sales@medilogik.co.uk,01473351650,james rowe
MediShout,,info@MediShout.co.uk,07930950335,Ashish Kalraiya
Medium Systems Limited,,Nina.Shurupava@mediumsystems.com,+442036080493,Nina Shurupava
Medius Software Ltd,"Medius is a leading global provider of cloud-based spend management solutions and in 2019 acquired Wax Digital to help organisations drive their business forward by enabling best-in-class efficiency, cost savings and financial control. 4,000 customers and 500,000 unique users worldwide use Medius solutions, managing transactions worth more than $160billion annually.",Daniel.Peel@medius.com,0161 367 8375,Daniel Peel
MEDLEY BUSINESS SOLUTIONS LIMITED,"Medley is a strategic ICT and IT-enabled business change consultancy.

It was formed in 1997 and has over 20 permanently employed, experienced consultants.

Medley is independent of all product vendors and systems integrators.

Its client base includes central government departments, government agencies, adjudicators, regulatory and scrutiny bodies, and police forces.",tim.eglen@chaucer.com,07770 384418,Tim Eglen
MEDSTARS LIMITED,"Medstars Limited provides secure remote video and live chat consultation solutions for individual clinicians, clinics and larger hospital groups to connect with and deliver healthcare to their patients. Medstars also provides marketing and consultancy services.",joey@medstars.co.uk,07887405472,Joey Islam
MEDSU Ltd,,claire.white@medsu.org,02071839544,Claire White
Medxnote,"Medxnote gives Firstline Healthcare Workers  their own Robotic Clinical Assistant or 'bot' that connects to any clinical data at the point of care. 

Designed for Microsoft Teams the platform is open, extensible and features HL7 FHIR integration and the ability to build a bot for any clinical improvement idea!",niall.rafferty@medxnote.com,07397 940 202,Niall Rafferty
MeetingSphere GmbH,,g-cloud@meetingsphere.com,+49 40 6891 4578,John Turner
MeetingZone Ltd,"Cisco lead the way when it comes to team collaboration products and services. MeetingZone integrate these with your business processes, align them with your workstyle, and train and support your people to use them confidently from day one.",accountmanagement@meetingzone.com,020 3107 0207,The Sales Team
MEETZOO,"Cloud based business meeting productivity software that integrates with MS Teams. Pulls tasks and actions from multiple meetings into a single To Do list. Replace actions logs with an easy to used and shared digital equivalent, share meeting notes with internal and external contacts.",info@meetzoo.com,07813149186,Enquiries
MEGA INTERNATIONAL LIMITED,"MEGA International is a global software firm helping organisations plan, manage and execute complex transformation programmes. Our software and methodology focuses on portfolio management, process modelling, business and IT architecture, and governance, risk and compliance, We enable executives to make pragmatic, informed choices between innovation, cost optimization, and risk management.",information.uk@mega.com,+ 44 1926 298 296,Lorne Clark
MegaNexus Ltd,"Meganexus is a leading provider of secure software solutions to the public sector and organisations which deliver public services. We support professionals in all disciplines who help improve the lives of citizens. Active sectors include Justice, Healthcare, Communities and Central government.",solutions@meganexus.com,020 7843 4343,Daniel Brown
MEG Support Tools,"MEG's cloud-based Quality Management System (QMS) for the healthcare sector consists of flexible, easy-to-use web and mobile modules, connecting all key components of clinical governance conveniently in one place: Audit Management & JCI tracers, Document Management, Incident Reporting & Risk Management, Insights & Analytics (BI integration possible).",enquiries@megsupporttools.com,020 3322 5406,Kerrill Thornhill
MeisterLabs,"Our mission is to inspire creativity in business, education and daily life by developing the most innovative and easy to use software tools. By embracing Web 2.0 concepts – simplicity, usability and collaboration – we provide new and revolutionary ways of working together in our increasingly global and connected environment.",oliver@meisterlabs.com,+49 89 1213 5359,Oliver Huebler
Mekon Ltd,,dave.harrison@mekon.com,02087228400,Dave Harrison
Me Learning,Me Learning provide online training solutions that help organisations train their workforce in a time and cost efficient manner. Our courses cover a wide range of topics and can be deployed through your corporate or via our industry leading learning management system,steffan.rodgers@melearning.co.uk,01273091301,Steffan Rodgers
Melissa Data Ltd,"Melissa provide data cleansing & verification, identity, and informatics solutions for over 20,000 UK & Global organisations, helping them to cleanse, update, match, verify, profile and enrich their data. Our customers use Melissa services to decrease costs, drive revenue from their data, prevent fraud, increase security and improve customer communications.",info.uk@melissa.com,020 7718 0070,Barley Laing
Melt Content Ltd,"Melt are a full-service agency offering a range of digital services, from design and build to strategic SEO, content and media outreach.

We use our experience and deep understanding of marketing and data to formulate strategies, create campaigns and web sites that deliver a return on investment for our clients.",gcloud@meltcontent.com,0203 735 5070,Sarah Campbell
Meltwater,"At Meltwater, we enable our clients to harness external data – the unstructured public domain of editorial and social media. 
We turn these into data-driven insights that guide organisational decision making. Helping our clients gather, analyse, and then distribute those insights, internally and externally via a blend of software.",nicolas.westdahl@meltwater.com,+44-20-3514-4909,Nicolas Westdahl
Mendel Verlag GmbH & Co. KG,"Mendel is the leading European information service and data content provider for woldwide
- customs tariffs (regular and preferential)
- internal taxes
- import formalities
- rules of origin
and further fieds of customs and foreign trade compliance for 120+ third countries and EU. Services are offered in various ways.",mendel@mendel-verlag.de,00492302202930,Kolja Mendel
Mendip Media Group Ltd (trading as Appen),"Appen (trading name)  provides data collection & annotation services from secure UK premises (ISO 27001), on-site or via secure remote workers.   Following the acquisition of Figure Eight we offer customers an enterprise-ready data annotation platform to deliver unprecedented quality and scale across a diverse set of industries and use cases.",enquiries.exeter@appen.com,+441392213958,Liz Griffiths
Meniscus Systems Ltd,"MAP Rain delivers historic and predictive rainfall analytics for any location in the UK. Integrates rainfall and any other operational dataset and generates predictive alerts if rainfall exceeds set limits.

Built using our MAP IoT platform used to develop real-time and predictive solutions for any IoT application.",meverest@meniscus.co.uk,01480 433714,Mike Everest
Mentor Group Limited,,solutions@mentorgroup.co.uk,01442849999,Jack Smith
MENTOR XCHANGE LIMITED,,charlie@mex.technology,07739224878,Charlie Fleming
Mentz GmbH,"As a software provider for public transport related solutions, MENTZ provides applications and support for cloud based environments.

These are used by public sector organisations such as Local Transport Authorities, Public Transport Executives, County and City Councils for SCHEDULING and to provide JOURNEY PLANNER information to their users.",hosseini@mentz.net,0049 89 41868 134,Nahid Hosseini
Mercator IT Solutions,"Mercator is a privately owned SME providing specialist cloud consultancy and Digital Transformation services incorporating Infrastructure, Data, DevOps, Cyber Security, full UX activities and Development across the full project lifecycle through GDS assessment. Mercator can supply consultants to augment current projects or stand up full outcomes-based teams.",martin@mercatorit.com,01892 611161,Martin Drewitt
Mercato Solutions,,jack.robbins@mercatosolutions.co.uk,0121 605 2050,Jack Robbins
MERCURIUS IT LIMITED,"Mercurius IT has blended business process knowledge with IT capability to deliver value to customers. We are a safe pair of hands, ensuring needs are met with minimal risk, cost, and time. Extensive partnerships and any shore ability make us the preferred choice of small, medium, transnational, and global customers.",atush.r@mercuriusit.com,+441908508080,Atush Rohan
Mercur Solutions (UK) Limited,"Mercur Business Control is the market leading solutions delivering integrated  Budgeting, Planning, forecasting, reporting and analysis. Hosted or on-premise our in-memory technology delivers fast collaborative answers to your financial or operational needs.",derek.morrison@mercur.com,07388906833,Derek Morrison
Meridian IT,"Meridian IT provide Cloud services and business solutions. We also specialise in IBM Power, i and AIX. Our technical consultants provide a Design, Build and Operate model covering enterprise infrastructure and application development. Hybrid and private cloud services include:
Infrastructure ,High Availability, Software, Backup and Disaster Recovery as a Service.",andy.haley@meridianit.co.uk,01564 330650,Andy Haley
Meritec Limited,,adam.wilkinson@meritec.co.uk,01756 699204,Adam Wilkinson
Merkle,"Merkle is a leading technology-enabled, data-driven customer experience management (CXM) company. For over 30 years, Fortune 1,000 companies and leading nonprofit organisations have partnered with us to build and maximise the value of their propositions.",dspencer@merkleinc.com,+44 (0) 7929 650815,David Spencer
Meronimi Ltd,"Catalyticshub is a free to access community platform providing real-time intelligence for procurement and commercial professionals on suppliers, categories and trends. It is used by people who need to keep up to date with supplier and/or category insight. The freemium version can by accessed online via mobile or desktop.",gcloud@catalyticshub.com,+44 203 465 4500,Simon Geale
MESMA LIMITED,"Mesma provides a quality management software application.  Our trademarked software insightQ is established and currently used by colleges, apprenticeship training providers, universities, and government agencies to coordinate their quality management processes.",louise@mesma.go.uk,08456588370,Louise Doyle
MessageBird,"MessageBird provides SMS, Voice, Email, Phone, WeChat, LINE, Facebook Messenger, Twitter, Instagram channels.

MessageBird also offers a no-code communications automation solution.

We also offer a contact center / customer support solution.

Google, Facebook, Uber are our customers.",rehman@messagebird.com,+31615456431,Rehman Abdur
Messly,,abrar@messly.co.uk,07793433988,Abrar Gundroo
MetaCompliance Ltd,,rpickett@metacompliance.com,02871359777,Robert Pickett
Meta Mission Data Limited,"MMD provides services and solutions to Defence and Security buyers that reduce costs and operational risk. Our expertise lies in assured, resilient and integrated Computers, Communications, Command and Control, Intelligence, Surveillance and Reconnaissance (C4ISR) capability across the Maritime, Land, Air, Space and Cyber Domains.",matt.spry@mmd.meta.aero,07539624467,Meta Mission Data Limited Frameworks Team
Metastreet Ltd,"Cloud software development and software providers mainly for the Public Sector. We are specialist providers of property (landlord) licensing software, tenure analytics to enable targeted enforcement, mobile working solutions including a unique inspection App which enables quick check validation. We also offer consultancy services.",pip.watson@metastreet.co.uk,07739287331,Pip Watson
Metataxis,"Metataxis is an independent consultancy specialising in information management and information architecture services. We believe that the key to any successful information system is that it has an information architecture which supports user and business requirements, and is appropriate for the organisation’s information and technology estate.",alexander.church@metataxis.com,07930489177,Alexander Church
Meteoric Ltd,,clive@meteoric.net,01865524550,Clive Gardner
Method4 Limited,"Method4 is a Microsoft and Umbraco Gold partner providing innovative development and consultancy with expert knowledge of cloud services, web applications and information systems. Using Agile methodologies Method4 provides discovery, UX design, development, support and migration of cloud solutions, digital transformation and cloud migration of business services. ISO9001, ISO27001 accredited.",gcloud@method4.co.uk,02920 665947,Christian Coates
Method Apps Limited,"Method Apps Limited is a provider of cloud solutions focused on the enterprise methodology, knowledge management, project management and collaborative productivity categories.",Oliver.walkes@methodgrid.com,07801105304,Oliver Walkes
Methods Analytics Ltd,"Methods Analytics turn data into actionable intelligence. We work across sectors to support our clients in answering key business questions, gaining insights into their organisation and customers,informing decisions and quantifying the value of change. We utilise leading AI and Data Science methodologies combined with traditional analytics techniques to enable  success.",DOS_analytics@methods.co.uk,020 7240 1121,Bid Team
Methods Business and Digital Technology Limited,"Methods is the leading digital transformation partner for the UK public sector. We enable clients to build sustainable technical and organisational capability across a range of ICT and business change activities; focused on maximising the value of information and using digital assets, platforms and services to underpin business optimisation.",gcloud@methods.co.uk,020 7240 1121,Bid Team
Metis Consultants Ltd,"Metis is a civil and environment engineering consultancy.  With services across asset management, flood risk management, civil engineering and public realm design providing decision support software solutions.

Our online tools provide support across highway and environmental activity from carbon awareness to investment modelling, works programmes, data collection and commuted sums.",luke@metisconsultants.co.uk,020 89480249,Luke Meechan
Metroid 2247,"We are a cyber digital consultancy that provide Cyber, Cloud and IT Digital services as both implementation consultants and auditors.  We have extensive backgrounds in large corporates, government, military and manufacturing.",glenn.bluff@2247.co.uk,07751234445,Glenn-Karl Bluff
M-Files,"M-Files is an intelligent information management solution that provides a 360 degree view of your data, enabling complete control of content, data, and records management. 

M-Files manages information based on metadata, is repository neutral and driven by Artificial Intelligence.",george.haddaway@m-files.com,03300 889569,George Haddaway
mGage - MMBU,"mGage is a Tier 1 aggregator with direct connections to all major US and UK carriers plus connections to over 600 networks in 150 countries. mGage provide SMS, RCS and push solutions via a cloud-based onmichannel messaging platform.",scampbell@mgage.com,0207 633 5000,Sam Campbell
MGISS,"MGISS is an innovative geospatial technology and services company.  The MGISS team has over 40 years technical and commercial experience across environmental, infrastructure and energy sectors delivering digital transformation and asset management solutions for field to office data capture, GIS and mapping services and Geospatial measurement technologies.",mike@mgiss.co.uk,0151 329 0820,Michael Darracott
MGMT Associates LLP,"Project /Programme Specialists with specialist expertise in a diverse range of technologies and the procurement and commercial management of their delivery.

Extensive experience in both the public and Private sector, driving transformation across both technology and business change.",a.rogerson@mgmt-associates.co.uk,07533669245,Adam Rogerson
M-HANCE GROUP LIMITED,"m-hance is a leading Microsoft partner with more than 20 years’ experience specialising in the design, implementation and support of enterprise-wide business systems using innovative Cloud Services including Microsoft Azure, Dynamics 365 Customer Engagement (CRM), Business Central (ERP), GP, Power Platform, SharePoint Online and Office 365, KingswaySoft and TIBCO (Scribe).",david.mannion@m-hance.com,0330 777 1950,David Mannion
MHR,"MHR supports the talent management, HR and payroll needs of over 10% of the total UK workforce. Our iTrent software and outsourcing services are used to manage one third of local authority and police staff, a quarter of university staff, over 76,000 people working for charities and much more.",G-cloud@mhr.co.uk,0115 945 6000,Mary Watkinson
Micad Systems (UK) Ltd.,"Micad’s software helps property professionals deliver their estate and property strategies. Working with organisations large and small to help run their premises more efficiently via a suite of web-based applications that can fit your business needs. Micad can be deployed quickly, is easy to use and requires no onsite installation.",keng@micad.co.uk,07986422083,Kenneth Gordon
Michael Carder Ltd,"Michael Carder Ltd is a specialised consultancy working to create clarity and vision for our clients and their customers. We provide the expertise build simple, reliable and secure systems in the Cloud. 
We work with Local Governments and Councils to create connections from their customers to their providers.",contracts.team@michaelcarder.co.uk,0778 607 8891,Michael Carder
Michael Page International,,alexhall@michaelpage.com,+44 1932 264200,Alex Hall
Mico Consultancy,"MiCO Consultancy are specialists in business and technology transformation. Change management and connecting people, systems and organisations are at the heart of everything that we do. Our highly skilled consultants provide expertise in portfolio and programme management, change management, information governance, business analysis, stakeholder engagement and communications.",Jacqui.wells@micoconnected.co.uk,+447468460592,Jacqueline Wells
MICROBOND,,g-cloud@microbond.co.uk,07588506825,G-Cloud Support Team
Micro Focus,Micro Focus is one of the world’s largest enterprise software providers. We deliver mission-critical technology and supporting services that help thousands of customers worldwide manage core IT elements of their business so they can run and transform—at the same time.,nick.aves@microfocus.com,01635 565330,Nick Aves
MICRO FOCUS,Micro Focus Software UK Ltd is the contracting name for solutions and services that were previously sold by HP Enterprise Software.,ukgovteam@microfocus.com,01635 565330,Micro Focus Government Team
MICRO FOCUS SOFTWARE (IRELAND) LIMITED,"Secure what matters most, Identities, Applications, and Data
Manage identities by governing privileges, enforcing access controls, and unifying identity stores.
Secure applications by embedding strong security and best practices into DevOps processes.  
Protect data by discovering where it is, determining who has access, and ""securing"" it wherever it resides.",publicsectoruk@microfocus.com,01635 565330,Micro Focus G-Cloud - Team
Microland Ltd,"Microland is a leading Digital Accelerator and a trusted partner to enterprises in their IT-as-a-Service journey. Microland enables global enterprises to become more agile and innovative through a comprehensive portfolio of services that addresses hybrid IT transformation, workspace transformation, service transformation and end-to-end IT Infrastructure Management.",nagarajakg@microland.com,+44 -7725257954,Nagaraja Kini
Microlink PC (UK) Ltd,"Microlink is the UK’s largest independent supplier of Assistive Technology and disability related management solutions. 
Providing a large range of services and products including but not limited to; consultation, assistive technology, ergonomic solutions, support, coaching, training and case management,",sam@microlinkpc.com,02380240300,Stavroula Papageorgaki
Microports.Net t/as Folding Space,"Folding Space develops world class software technologies, applications and programs delivered as a significantly better value proposition than anything comparable.  Folding Space has significant IT experience with Central Government, Higher Education, Local Government, NHS and Parliamentary Institutions as well as wider commercial and industrial expertise.",chris.massey@foldingspace.co.uk,0121 2368979,chris massey
Microsoft Limited,"The Microsoft Services organisation is a diverse group of talented user experience experts, solution architects, engineers, consultants, and support professionals dedicated to delivering on Microsoft’s mission of empowering every person and every organisation to achieve more.",msukservices@microsoft.com,01189094502,Robert Sillitoe
MICS365 LIMITED,,rifki.yapakci@mics365.com,07872665225,RIFKI YAPAKCI
MIDLANDS PROJECTS MANAGEMENT LIMITED,,laura.brunelleschi@midlandspm.co.uk,+447961756751,Laura Brunelleschi
MILLENNIA CLOUD SERVICES LIMITED,"Millennia, UK’s only Nutanix X-Powered Service Provider, offers Private/Hybrid Managed Clouds and Remote Working on Nutanix with ability to burst to public clouds.  Nutanix as a Service for existing Nutanix installations providing support and DR.  Simplified pricing, no hidden extras, no pre-determined sizes.  Choice of clouds through solutions, not platforms.",info@millennia.cloud,0333 335 6780,JOHN THORPE
Millersoft Ltd,"Business Intelligence, data lakes/vaults/warehouses and all the data integration that goes with it is our speciality. From raw data to dashboards using open source visualisation software. Amazon AWS partner doing EC2/EMR/Presto/S3/RDS/Druid/Athena/Lambda/Turk/ Snowflake/Superset/Quicksight/Kafka/Kinesis",gerry@millersoftltd.com,0131 376 7114,Gerry Conaghan
MINDBRIDGE ANALYTICS LTD.,"MindBridge™ Analytics Ltd leverages artificial intelligence to detect errors in financial data. MindBridge Ai Auditor™ applies a hybrid of rules, statistical models, machine learning and artificial intelligence algorithms against 100% of transactions, generating a ‘risk score’ for all transactions. Results are presented in an intuitive interface, identifying transactions warranting investigation.",rachel.kirkham@mindbridge.ai,020 8123 8950,Rachel Kirkham
Mindful Contract Solutions Limited,"Access a fully-managed resourcing solution that will help you focus more on delivery and less on staffing your client-side team. We bolster Major Government Project teams of civil servants, with contract professionals in Commercial, Technical, Functional and Programme Management areas. Realise your dream team with us.",info@mindfulcontract.co.uk,0208 406 3859,Amit Kapoor
Mindful Education,,raj@mindful-education.co.uk,02036060363,Raj Kumaran
Mind Of My Own,"We blend tech, social work and children’s rights expertise to create apps that increase participation and allow children and young people to express their views, wishes and feelings. 
Our apps are safe, private and a secure way for children from three years to adulthood to fully participate within their care.",hello@mindofmyown.org.uk,0330 057 9575,Yvonne Anderson
MINDSET IT LTD,,clement.tala@mindsetit.co.uk,01157860401,Clement Tala
Mindwave Ventures,"Mindwave is a digital health company. We help our clients improve lives through technology. We work with healthcare, academics and startups by designing, developing and managing digital products and services. Born out of NIHR Maudsley Biomedical Research Centre. We have a unique blend of creative industries, healthcare and academic expertise.",businessdevelopment@mindwaveventures.com,07590057431,Katy Edwards
MINERVA ELITE PERFORMANCE LTD,"Minerva Elite provides bespoke Physical Security, training, education & development services for workforces using a combination of management training tools and academic research. We improve the performance of our clients in security, communication & business skills with the ultimate result of improving client performance.",grb@minervaelite.com,07414960160,GUY BATCHELOR
MINT COMMERCIAL SERVICES LLP,,ronnie.adams@mint.police.uk,07702141531,Ronnie Adams
